product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Tai nghe Chụp Tai Mozard IP-840,140000,350000,60,172,,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-mozard-ip-840,Headphone,Mozard
Tai nghe Bluetooth True Wireless Mozard T302A,355000,890000,60,74,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-mozard-t302a-den,Headphone,Mozard
Tai nghe Có Dây Mozard S80,75000,75000,0,57,,https://www.thegioididong.com/tai-nghe/tai-nghe-nhet-tai-ep-mozard-s80-den,Headphone,Mozard
Tai nghe Bluetooth Mozard S205A,350000,350000,0,84,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-mozard-s205a-xanh,Headphone,Mozard
Tai nghe Chụp Tai Mozard IP-878,140000,350000,60,184,,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-mozard-ip-878-den-reu,Headphone,Mozard
Tai nghe Bluetooth Mozard Q6,175000,350000,50,147,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-mozard-q6-do,Headphone,Mozard
Tai nghe Có Dây Mozard DS509-WB,150000,150000,0,76,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-mozard-ds509-wb-xam,Headphone,Mozard
Tai nghe Bluetooth True Wireless Mozard AT5,890000,890000,0,59,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-mozard-at5-den,Headphone,Mozard
Tai nghe Có Dây Awei Q50Hi,150000,150000,0,117,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-q50hi-bac,Headphone,Awei
Tai nghe Có Dây Awei Q29Hi,150000,150000,0,336,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-q29hi-den-hong,Headphone,Awei
Tai nghe Có Dây Awei Q27Hi,150000,150000,0,201,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-q27hi-den,Headphone,Awei
Tai nghe Có Dây Awei Q26Hi,75000,75000,0,71,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-q26hi-den,Headphone,Awei
Tai nghe Bluetooth Awei G51BS,175000,350000,50,48,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-awei-g51bs-den,Headphone,Awei
Tai nghe Bluetooth Awei A920BS,175000,350000,50,89,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-awei-a920bs,Headphone,Awei
Tai nghe Bluetooth Awei A930BS,140000,350000,60,29,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-awei-a930bs,Headphone,Awei
Tai nghe Bluetooth Awei A840BL,175000,350000,50,138,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-nfc-awei-a840bl,Headphone,Awei
Tai nghe Có Dây Awei ES500Ni,150000,150000,0,133,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-awei-es500ni,Headphone,Awei
Tai nghe Bluetooth True Wireless AVA+ DS200A-WB,175000,350000,50,284,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-ava-ds200a-wb,Headphone,Ava
Tai nghe Bluetooth True Wireless AVA+ DS201A-WB,175000,350000,50,274,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-ava-ds201a-wb,Headphone,Ava
Tai nghe Bluetooth True Wireless AVA+ DS206,395000,790000,50,107,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-ava-ds206,Headphone,Ava
Tai nghe Có Dây Type C AVA+ DS815-WB,160000,200000,20,76,,https://www.thegioididong.com/tai-nghe/tai-nghe-co-day-type-c-ava-ds815-wb-trang,Headphone,Ava
Tai nghe Chụp Tai Trẻ em AVA+ KD-662,125000,250000,50,42,,https://www.thegioididong.com/tai-nghe/chup-tai-ava-kd-662,Headphone,Ava
