product_name,current_price,price,percent_discount,rating,link,brand_id,series,devices
Cáp Lightning MFI 2m Mbest DS951-WB,155.000₫,290.000₫,-45%,83,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-2m-mbest-ds951-wb-gold,14,,Cables
Cáp Lightning MFI 1m Mbest DS950-WB,155.000₫,290.000₫,-45%,83,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-mbest-ds950-wb,14,,Cables
Cáp Type C - Type C 2m Mbest DS076X,220.000₫,,,24,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-mbest-ds076x-trang,14,,Cables
Cáp Type C - Type C 1m Mbest DS075X,220.000₫,,,52,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-1m-mbest-ds075x-trang,14,,Cables
Cáp Type C - Lightning MFI 1m Mbest DS954,350.000₫,,,26,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-mfi-1m-mbest-ds954,14,,Cables
Cáp Type C 1m Mbest DS462X,190.000₫,,,52,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-mbest-ds462x,14,,Cables
Cáp Lightning MFI 1m Mbest DS949-WB,155.000₫,290.000₫,-45%,62,https://www.thegioididong.com/cap-dien-thoai/cap-lightning-mfi-1m-mbest-ds949-wb-xam,14,,Cables
Cáp Type C 1m Mbest DS002-WB,190.000₫,,,137,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-mbest-ds002-wb-cam,14,,Cables
Cáp Type C 2m Mbest DS463X-WB,150.000₫,190.000₫,-20%,60,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-2m-mbest-ds463x-wb-den,14,,Cables
Cáp Type C 1m Mbest DS462G-WB,150.000₫,,,18,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-1m-mbest-ds462g-wb-xam,14,,Cables
Cáp Type C - Type C 2m Mbest SMXU75,150.000₫,,,28,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c-2m-mbest-smxu75-trang,14,,Cables
Cáp Type C - Lightning MFI 1m Mbest DS640-WB,350.000₫,,,31,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-lightning-mfi-1m-mbest-ds640-wb-den,14,,Cables
Cáp Type C - Type C 1m M-Best SMXU75,150.000₫,,,10,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-type-c1m-m-best-smxu75-trang,14,,Cables
Cáp Type C 1.5m Sony CP-AC150,230.000₫,,,,https://www.thegioididong.com/cap-dien-thoai/cap-type-c-15m-sony-cp-ac150,15,,Cables
Cáp Micro USB 1m Sony CP-AB100,Ngừng kinh doanh,,,28,https://www.thegioididong.com/cap-dien-thoai/cap-micro-1m-sony-cp-ab100,15,,Cables
Cáp nối dài 3.5mm Pisen YP04,25.000₫,50.000₫,-50%,60,https://www.thegioididong.com/cap-dien-thoai/cap-noi-dai-35mm-2m-pisen-yp04,16,,Cables
